License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
403-00284,THE GIVING TREE OF DENVER LLC,,Medical Marijuana Cultivation,1255 South Huron Street,Denver,CO,80223,2024-09-03,39.6938869,-104.9969375
403-01829,THE GOLDEN SUMMIT LLC,The Apotheke,Medical Marijuana Cultivation,2582 South Academy Boulevard,Colorado Springs,CO,80916,2024-09-03,38.7943803,-104.7580535
403-01091,THE GREEN BUILDING LLC,,Medical Marijuana Cultivation,1397 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6909618,-104.9909149
403-00208,THE GREEN SOLUTION LLC,,Medical Marijuana Cultivation,4394 North Grape Street,Denver,CO,80216,2024-09-03,39.777396,-104.924567
403-01742,THE HEALING CANNA LLC,HEALING CANNA,Medical Marijuana Cultivation,2304 East Bijou Street,Colorado Springs,CO,80909,2024-09-03,38.8358521,-104.7868961
403-00867,THE HEALING CANNA LLC,Healing Canna,Medical Marijuana Cultivation,3330 South Drennan Industrial Loop,Colorado Springs,CO,80909,2024-09-03,38.7878898,-104.7666395
403-01132,THE HERB SHOPPE LLC,The Herb Shoppe,Medical Marijuana Cultivation,"3020 West Colorado Avenue, Suite B & C",Colorado Springs,CO,80904,2024-09-03,38.852592,-104.8708803
403-01422,THE ORGANIC SEED LLC,FUMO,Medical Marijuana Cultivation,41 North Precision Drive,Pueblo West,CO,81007,2024-09-03,38.333847,-104.727828
403-01309,THE SLOTH LLC,,Medical Marijuana Cultivation,"4600 North Ironton Street, Unit 102",Denver,CO,80239,2024-09-03,39.782313,-104.863207
403-00210,THIRD DAY APOTHECARY MC LLC,,Medical Marijuana Cultivation,"4865 North Academy Boulevard, Unit B",Colorado Springs,CO,80918,2024-09-03,38.9023516,-104.7691219
403-01585,THREE RIVERS DEVELOPMENT LLC,Three Rivers Dispensary,Medical Marijuana Cultivation,83 North Magneto Drive,Pueblo West,CO,81007,2024-09-03,38.335297,-104.724494
403-02386,TNT BOTANICALS LLC,POT ZERO,Medical Marijuana Cultivation,11157 Gypsum Creek Road,Gypsum,CO,81637,2024-09-03,39.597869,-106.949309
403-01767,TOTAL GREEN LLC,TOTAL GREEN,Medical Marijuana Cultivation,1105 South Chelton Road,Colorado Springs,CO,80910,2024-09-03,38.8159745,-104.765878
403-00349,TRICHOME HEALTH CONSULTANTS INC,Trichome Health Consultants,Medical Marijuana Cultivation,"3425 Van Teylingen Drive, Unit D & E",Colorado Springs,CO,80917,2024-09-03,38.8810442,-104.7603792
403-01563,TRINIDADS HIGHER CALLING U LLC,,Medical Marijuana Cultivation,1000 Independence Road,Trinidad,CO,81082,2024-09-03,37.1908155,-104.4966271
403-01660,TROY ENTERPRISES LLC,ELEVATIONS,Medical Marijuana Cultivation,8270 Razorback Road,Colorado Springs,CO,80920,2024-09-03,38.9512086,-104.8006342
403-01971,TY WEBB ENTERPRISES LLC,,Medical Marijuana Cultivation,9792 East Hanover Court,Henderson,CO,80640,2024-09-03,39.873838,-104.868047
403-01618,URBANE DEVELOPERS LLC,Cherry,Medical Marijuana Cultivation,2191 South Jason Street,Denver,CO,80223,2024-09-03,39.6769132,-104.999567
403-01293,VERTS LLC,Verts Neighborhood Dispensary,Medical Marijuana Cultivation,"5724 Bueno Drive, Unit B & C",Fort Collins,CO,80521,2024-09-03,40.506536,-105.075529
403-01536,VIOLA INC,Viola's Extracts,Medical Marijuana Cultivation,4645 North Joliet Street,Denver,CO,80239,2024-09-03,39.782371,-104.8614
403-02019,VIOLET BLOOM LLC,,Optional Premises,19812 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
403-01509,WELLNESS CENTER OF THE ROCKIES INC,The Center,Medical Marijuana Cultivation,2130 South Lipan Street,Denver,CO,80223,2024-09-03,39.677914,-105.0016732
403-01726,WESTWARD SUMMIT LLC,High Country Healing,Medical Marijuana Cultivation,"4242 North Elizabeth Street, Unit 1",Denver,CO,80216,2024-09-03,39.77593,-104.956381
403-01474,YETI FARMS LLC,Yeti Farms LLC,Medical Marijuana Cultivation,1650 Siloam Road,Pueblo,CO,81005,2024-09-03,38.2264739,-104.975429
403-01638,ZIPZ LLC,zipz,Medical Marijuana Cultivation,3745 Interpark Drive,Colorado Springs,CO,80907,2024-09-03,38.8860087,-104.8308513
403R-00537,1-11 LLC,1:11,Retail Marijuana Cultivation Facility,54414 County Road F,Center,CO,81125,2024-09-03,37.820974,-106.012161
403R-00974,132 ENTERPRISES LLC,KLONE,Retail Marijuana Cultivation Facility,"322 North Norfolk Street, Unit I",Aurora,CO,80011,2024-09-03,39.725483,-104.797924
403R-01454,1395 SOUTH ACOMA LLC,,Retail Marijuana Cultivation Facility,1395 South Acoma Street,Denver,CO,80223,2024-09-03,39.6913598,-104.9888029
403R-00885,1790 POPE VALLEY LLC,Canna Tek,Retail Marijuana Cultivation Facility,1790 Pope Valley Ranch Road ,Pueblo,CO,81005,2024-09-03,38.261126,-104.646285
403R-01401,1CURE LLC,,Retail Marijuana Cultivation Facility,7835 Maverick Lane,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
403R-00692,2205 POPE VALLEY LLC,Canna Tek,Retail Marijuana Cultivation Facility,2205 Pope Valley Ranch Road,Pueblo,CO,81005,2024-09-03,38.261126,-104.646285
403R-01197,240 ARTHUR AVENUE LLC,Mad Creek Cannabis,Retail Marijuana Cultivation Facility,240 Arthur Avenue,Oak Creek,CO,80467,2024-09-03,40.273645,-106.961793
403R-01466,3 SISTERS CANNABIS LLC,,Retail Marijuana Cultivation Facility,218 Norml Lane,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
403R-00058,4611 EXPANSION LLC,,Retail Marijuana Cultivation Facility,4655 East 46th Avenue,Denver,CO,80216,2024-09-03,39.7805618,-104.9328597
403R-01019,4985 HOLDINGS LLC,,Retail Marijuana Cultivation Facility,4985 Colorado Boulevard,Denver,CO,80216,2024-09-03,39.7863052,-104.9406572
403R-00670,7415 LLC,,Retail Marijuana Cultivation Facility,7415 Rex Road,Pueblo,CO,81005,2024-09-03,38.255533,-104.65062
403R-00667,8058 LLC,Mighty Tree,Retail Marijuana Cultivation Facility,4755 North Lipan Street,Denver,CO,80211,2024-09-03,39.782501,-105.001764
403R-00719,81082 LLC,Colorado Cannabis Exchange II,Retail Marijuana Cultivation Facility,123 Pine Street,Trinidad,CO,81082,2024-09-03,37.1730063,-104.509181
403R-00503,A2ZINC LLC,AJs,Retail Marijuana Cultivation Facility,2177 57th Lane,Boone,CO,81025,2024-09-03,38.206041,-104.267047
403R-00313,ABUNDANT HEALTH DENVER LLC,Herban Underground,Retail Marijuana Cultivation Facility,"70 North Broadway, Suite 50",Denver,CO,80203,2024-09-03,39.717834,-104.987427
403R-01162,ACES PLACE LLC ,,Retail Marijuana Cultivation Facility,14621 County Road 98,Nunn,CO,80648,2024-09-03,40.6960022,-104.775428
403R-01024,AD FARMS LLC,,Retail Marijuana Cultivation Facility,6473 Galbreth Road,Pueblo,CO,81005,2024-09-03,38.1708684,-104.7795805
403R-00734,AF INC,Apothecary Farms,Retail Marijuana Cultivation Facility,3415 Riddell Place,Colorado City,CO,81019,2024-09-03,37.9329127,-104.8227972
403R-00424,AF INC,Apothecary Farms,Retail Marijuana Cultivation Facility,1917 Santa Fe Drive,Pueblo,CO,81006,2024-09-03,38.2499983,-104.6012742
403R-01328,AGG FARMS LLC,,Retail Marijuana Cultivation Facility,619 Dunn Deal Drive Tract 1,Moffat,CO,81143,2024-09-03,37.216145,-105.565896
403R-01006,AGRICULTURAL FARMS LLC,AGRICULTURAL FARMS,Retail Marijuana Cultivation Facility,47898 County Road U,Saguache,CO,81149,2024-09-03,38.014882,-106.119032
403R-00783,ALL PRO FARMS LLC,,Retail Marijuana Cultivation Facility,1500 US Highway 85/87,Walsenburg,CO,81089,2024-09-03,37.641901,-104.789881
403R-00548,ALLGREENS LLC,,Retail Marijuana Cultivation Facility,2291 South Kalamath Street,Denver,CO,80223,2024-09-03,39.6751098,-105.0007235
403R-01409,ALPINE ALCHEMY LLC,,Retail Marijuana Cultivation Facility,260 Griffing Road ,Gunnison,CO,81230,2024-09-03,38.528323,-107.037294
403R-00513,ALPINE ESSENTIALS LLC,Alpine Essentials,Retail Marijuana Cultivation Facility,850 A & B Commerical Lane,Palmer Lake,CO,80133,2024-09-03,39.499203,-104.882301
403R-00763,ALPINE WELLNESS LLC,Alpine Wellness,Retail Marijuana Cultivation Facility,557 Woodstock Road,Norwood,CO,81423,2024-09-03,38.124471,-108.319337
403R-00200,ALTERNATIVE HOLISTIC HEALING LLC,Rocky Mountain Organics,Retail Marijuana Cultivation Facility,"5312 Highway 119, Unit B",Black Hawk,CO,80422,2024-09-03,39.7873247,-105.4661419
403R-00945,ALTITUDE WELLNESS CENTER LLC,Nature's Herbs & Wellness DTC,Retail Marijuana Cultivation Facility,1131 South Bannock Street,Denver,CO,80223,2024-09-03,39.696096,-104.9904674
403R-01027,ANCIENT FARMS LLC,,Retail Marijuana Cultivation Facility,6468 Galbreth Road,Pueblo,CO,81005,2024-09-03,38.1706866,-104.7775843
403R-00953,ANGEL FARMS LLC,,Retail Marijuana Cultivation Facility,60800 Highway 96 East,Boone,CO,81025,2024-09-03,38.225933,-104.206634
403R-00963,ANIMAS HERBAL WELLNESS CENTER INC,Prohibition Herb ,Retail Marijuana Cultivation Facility,1101 South Bannock Street,Denver,CO,80223,2024-09-03,39.6964525,-104.9904959
403R-00550,ANIMAS HERBAL WELLNESS CENTER INC,Prohibition Herb ,Retail Marijuana Cultivation Facility,1115 South Bannock Street ,Denver,CO,80223,2024-09-03,39.6962944,-104.9902387
403R-00163,ANTERO SCIENCES LLC,,Retail Marijuana Cultivation Facility,7851 County Road 150,Salida,CO,81201,2024-09-03,38.554922,-106.020965
403R-01362,APRES FINE CANNABIS LLC,,Retail Marijuana Cultivation Facility,707 Mayor Patricia Riegel Boulevard,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
403R-01333,ARDO HOLDING LLC,,Retail Marijuana Cultivation Facility,"5200 East Smith Road, Suite 110",Denver,CO,80216,2024-09-03,39.775054,-104.925976
403R-01222,ARKANSAS VALLEY ORGANICS LLC,Arkansas Valley Organics,Retail Marijuana Cultivation Facility,8421 Maverick Lane,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
403R-00209,ARMS HOLDINGS,The Healing Tree,Retail Marijuana Cultivation Facility,4455 North Garfield Street Unit 100 & 110,Denver,CO,80216,2024-09-03,39.794274,-104.944025
403R-01481,ASTRONUGZ LLC,,Retail Marijuana Cultivation Facility,317 Mary Jane Lane,Moffat,CO,81143,2024-09-03,37.702995,-106.686386
403R-00445,AT ALTITUDE LLC,,Retail Marijuana Cultivation Facility,"1501 Lee Hill Drive, Unit 9",Boulder,CO,80304,2024-09-03,40.063028,-105.279304
403R-01455,B & O INDUSTRY LLC ,,Retail Marijuana Cultivation Facility,20040 Grassland Lane,Ordway,CO,81063,2024-09-03,38.376616,-104.649935
403R-01420,B LEAF LLC,,Retail Marijuana Cultivation Facility,19879 Tamarack Lane ,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
403R-01032,BEAR WITH US LLC,,Retail Marijuana Cultivation Facility,6401 Galbreth Road,Pueblo,CO,81005,2024-09-03,38.1706273,-104.7725075
403R-00287,BEDDOR CLAUDE LLC,Chronic Therapy,Retail Marijuana Cultivation Facility,10030 West 27th Avenue,Wheat Ridge,CO,80215,2024-09-03,39.7557593,-105.1101047
403R-00283,BENNETT HOLDINGS LLC,FUMO,Retail Marijuana Cultivation Facility,59 North Laser Drive,Pueblo West,CO,81007,2024-09-03,38.330347,-104.711427
403R-00694,BEST BUDS BOTANICAL LLC,Best Buds,Retail Marijuana Cultivation Facility,19655 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
403R-00897,BEST BUDZ LLC,Best Budz,Retail Marijuana Cultivation Facility,33622 County Road 58EE,Villa Grove,CO,81155,2024-09-03,38.2309814,-105.9329499
403R-01279,BETTER GREEN LLC,,Retail Marijuana Cultivation Facility,25 Bent Avenue,Las Animas,CO,81054,2024-09-03,38.0734094,-103.2199863
403R-01105,BGA INVESTMENT COMPANY LLC,Good Smells,Retail Marijuana Cultivation Facility,6390 Gunpark Drive Unit B,Boulder,CO,80301,2024-09-03,40.0699813,-105.2046308
403R-00960,BGOOD VENTURES LLC,,Retail Marijuana Cultivation Facility,1031 West Center Avenue,Denver,CO,80223,2024-09-03,39.70585,-105.0018777
403R-00450,BK HOLDINGS LLC,,Retail Marijuana Cultivation Facility,12001 East 37th Avenue,Denver,CO,80239,2024-09-03,39.768162,-104.848436
403R-00481,BK HOLDINGS LLC,The Herbal Center,Retail Marijuana Cultivation Facility,12005 East 37th Avenue,Denver,CO,80239,2024-09-03,39.7681593,-104.8484008
403R-01223,BLACK LABEL FARMS LLC,,Retail Marijuana Cultivation Facility,8488 Maverick Lane,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
403R-00137,BLAZIN OG LLC,,Retail Marijuana Cultivation Facility,4995 North Lima Street,Denver,CO,80239,2024-09-03,39.790281,-104.856718
403R-01283,BLUE EARTH CANNABIS LLC,Blue Earth Farms,Retail Marijuana Cultivation Facility,65495 County Road Z,Moffat,CO,81143,2024-09-03,38.085604,-105.921803
403R-00961,BMG PAGOSA 765 LLC,,Retail Marijuana Cultivation Facility,765 Industrial Circle,Pagosa Springs,CO,81147,2024-09-03,37.202251,-107.12619
403R-01366,BONNE SANTE LLC,,Retail Marijuana Cultivation Facility,10662 Highway 172,Ignacio,CO,81137,2024-09-03,37.1203967,-107.6335747
403R-00467,BOONE FARMS LLC,,Retail Marijuana Cultivation Facility,60710 Highway 96 East,Boone,CO,81025,2024-09-03,38.239169,-104.224586
403R-01044,BOULDER BUILT LLC,,Retail Marijuana Cultivation Facility,5305 Vasquez Boulevard,Commerce City,CO,80022,2024-09-03,39.7933041,-104.9395876
403R-00756,BOULDER LH HOLDINGS LLC,Stardust Concentrates,Retail Marijuana Cultivation Facility,3386 Longhorn Road,Boulder,CO,80302,2024-09-03,40.0796152,-105.2781847
403R-00241,BOULDER ORGANIC FOOD GROUP LLC,Potions,Retail Marijuana Cultivation Facility,9135 West 44th Avenue,Wheat Ridge,CO,80033,2024-09-03,39.7781707,-105.0991326
403R-00093,BRECKENRIDGE INVESTMENTS LLC,The Dispensary,Retail Marijuana Cultivation Facility,"1805 Airport Road  Unit B1B, B1C & B2",Breckenridge,CO,80424,2024-09-03,39.510349,-106.052066
403R-01299,BUBBAS KUSH LLC,Kaiser Consulting Services,Retail Marijuana Cultivation Facility,20064 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
403R-00930,BUD FOX ENTERPRISES LLC,,Retail Marijuana Cultivation Facility,"14896 East 38th Avenue, Unit C",Aurora,CO,80011,2024-09-03,39.7684311,-104.8147025
403R-01434,BUD WITH ATTITUDE LLC,,Retail Marijuana Cultivation Facility,440 Broadway,Moffat,CO,81143,2024-09-03,37.9986626,-105.9038281
403R-00135,BUILDING BETTER DAYS LLC,REEFER MADNESS,Retail Marijuana Cultivation Facility,"4425 East 46th Avenue, Unit A",Denver,CO,80216,2024-09-03,39.780559,-104.9345723
403R-01059,BULLYS FARMS LLC,,Retail Marijuana Cultivation Facility,6395 Galbreth Road,Pueblo,CO,81005,2024-09-03,38.1706236,-104.7724082
403R-01126,CADBIS LLC,Mad Flower Farms,Retail Marijuana Cultivation Facility,711 Mayor Patricia Reigel Boulevard,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
403R-00575,CALISTOS GARDEN LLC,,Retail Marijuana Cultivation Facility,2257 South Kalamath Street,Denver,CO,80223,2024-09-03,39.6756531,-105.0007252
403R-00350,CANNA CLUB LLC,Best Buds,Retail Marijuana Cultivation Facility,"11900 East 33rd Avenue, Suite 2",Aurora,CO,80010,2024-09-03,39.7632007,-104.8495745
403R-00432,CANNA CLUB LLC,,Retail Marijuana Cultivation Facility,3814 Walnut Street,Denver,CO,80205,2024-09-03,39.7703639,-104.9712863
403R-01284,CANNA MEDS WELLNESS CENTER LLC,Canna meds wellness center,Retail Marijuana Cultivation Facility,7038 County Lane 20,Ordway,CO,81063,2024-09-03,38.214932,-103.710795
403R-01087,CANNA STIX LLC,,Retail Marijuana Cultivation Facility,6480 Galbreth Road,Pueblo,CO,81005,2024-09-03,38.1707013,-104.7794886
403R-00109,CANNABIS BROTHERS HOLDING COMPANY INC,,Retail Marijuana Cultivation Facility,4900 North Jackson Street,Denver,CO,80216,2024-09-03,39.8257512,-104.6954995
403R-00884,CANNABIS FOR HEALTH LLC,Pig 'N' Whistle,Retail Marijuana Cultivation Facility,155 South Pecos Street,Denver,CO,80223,2024-09-03,39.7136843,-105.0064765
403R-01397,CANNABOO FARMS LLC,,Retail Marijuana Cultivation Facility,626 Sage Road,Montrose,CO,81403,2024-09-03,38.275349,-107.83096
403R-01480,CANNAVULTURES LLC,CANNAVULTURES,Retail Marijuana Cultivation Facility,724 North Reigel Court,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
403R-01378,CASA VERDE FARMS LLC,,Retail Marijuana Cultivation Facility,20304 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
403R-00443,CC TRINIDAD LLC,Smokey's,Retail Marijuana Cultivation Facility,422 North Commercial Street,Trinidad,CO,81082,2024-09-03,37.1715029,-104.506801
403R-00326,CCC INC,The Happy Camper Cannabis Company,Retail Marijuana Cultivation Facility,80 Rosalie Road,Bailey,CO,80421,2024-09-03,39.439889,-105.449278
403R-00005,CCS of COLORADO LLC,Callie's,Retail Marijuana Cultivation Facility,777 North Canosa Court ,Denver,CO,80204,2024-09-03,39.728906,-105.019935
403R-00802,CG INDUSTRY LLC,CROSS GENETICS,Retail Marijuana Cultivation Facility,4902 East Smith Road Unit C,Denver,CO,80216,2024-09-03,39.7762078,-104.9371257
403R-00981,CGFR GROUP INC,Cuban Crew Colorado,Retail Marijuana Cultivation Facility,"5301 Vasquez Boulevard, Unit 102",Commerce City,CO,80022,2024-09-03,39.7937776,-104.9395528
403R-00606,CGRO LLC,Apex Organics,Retail Marijuana Cultivation Facility,714 Mayor Patricia Reigel Boulevard,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
403R-01236,CHRONIC THERAPY-CORTEZ LLC,Chronic Cultivation,Retail Marijuana Cultivation Facility,1020 South Broadway,Cortez,CO,81321,2024-09-03,37.3360515,-108.6016535
403R-01085,CLCC LLC,Lookout Tower,Retail Marijuana Cultivation Facility,800 West Rio Grande Avenue,Gunnison,CO,81230,2024-09-03,38.5378973,-106.9366274
403R-01103,CLEARWATER BUDS LLC,,Retail Marijuana Cultivation Facility,77 North Laser Drive Suite H,Pueblo West,CO,81007,2024-09-03,38.331276,-104.710791
403R-01095,CLEARWATER CAMPUS LLC,,Retail Marijuana Cultivation Facility,24 North Research Drive,Pueblo West,CO,81007,2024-09-03,38.334956,-104.734832
403R-00730,CLEARWATER EXOTICS LLC,,Retail Marijuana Cultivation Facility,168 East Assembly Drive,Pueblo West,CO,81007,2024-09-03,38.340479,-104.736777
403R-00870,CLUTCHX LLC,Clutch Extracts,Retail Marijuana Cultivation Facility,"77 North Laser Drive, Suite A",Pueblo West,CO,81007,2024-09-03,38.331276,-104.710791
403R-01043,CO DEVELOPMENT HOLDINGS INC,Host Cannabis Company,Retail Marijuana Cultivation Facility,"3555 North Moline Street, Unit A",Aurora,CO,80010,2024-09-03,39.7153585,-104.8562328
403R-00986,COLLECTED SUN LLC,Collected Sun,Retail Marijuana Cultivation Facility,6183 Red Creek Springs Road West,Pueblo,CO,81005,2024-09-03,38.2210967,-104.7555884
403R-00206,COLORADO CANNABIS ASSOCIATES LLC,The Spot,Retail Marijuana Cultivation Facility,748 East Industrial Boulevard,Pueblo West,CO,81007,2024-09-03,38.3241609,-104.6886055
403R-00555,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,Retail Marijuana Cultivation Facility,4571 North Ivy Street,Denver,CO,80216,2024-09-03,39.77986,-104.920111
403R-01423,COLORADO CARE LLC,,Retail Marijuana Cultivation Facility,20252 Grassland Lane,Ordway,CO,81063,2024-09-03,38.376616,-104.649935
403R-00384,COLORADO DISTRIBUTING INC,,Retail Marijuana Cultivation Facility,893 East Enterprise Drive,Pueblo West,CO,81007,2024-09-03,38.3260135,-104.705327
403R-00214,COLORADO FARMS INC,Lightshade ,Retail Marijuana Cultivation Facility,11975 East 40th Avenue,Denver,CO,80239,2024-09-03,39.772989,-104.8487803
403R-00053,COLORADO KIND HOLDINGS LLC,Clarity Gardens,Retail Marijuana Cultivation Facility,"4600 North Ironton Street, Unit 101",Denver,CO,80239,2024-09-03,39.782313,-104.863207
403R-00508,COLORADO LEAF LLC,Colorado Leaf,Retail Marijuana Cultivation Facility,8217 Red Creek Springs Road,Pueblo,CO,81005,2024-09-03,38.247385,-104.673007
403R-00088,COMPASSIONATE CARE GIVERS INC,Rocky Mountain High,Retail Marijuana Cultivation Facility,6666 East 44th Avenue,Denver,CO,80216,2024-09-03,39.7776216,-104.9112821
403R-01426,CONSCIOUS CARE LIMITED,,Retail Marijuana Cultivation Facility,613 Dunn Deal Drive,Moffat,CO,81143,2024-09-03,37.215457,-107.651024
403R-00406,CONSCIOUS CONFECTIONS LLC,Native Roots Extracts,Retail Marijuana Cultivation Facility,680 North Lipan Street,Denver,CO,80204,2024-09-03,39.727037,-105.001526
403R-01233,CONSCIOUSLY CRAFTED LLC,Verde Natural,Retail Marijuana Cultivation Facility,2139 45 Road ,De Beque,CO,81630,2024-09-03,39.3006005,-108.2141596
403R-00033,CONSCIOUSLY CRAFTED LLC,Verde Natural,Retail Marijuana Cultivation Facility,5000 East 41st Avenue,Denver,CO,80216,2024-09-03,39.7736341,-104.9294624
403R-00011,CORRIDOR 70 LLC,EverBloom,Retail Marijuana Cultivation Facility,695 North Bryant Street,Denver,CO,80204,2024-09-03,39.726256,-105.018757
403R-01300,CORRIDOR 70 LLC,EverBloom,Retail Marijuana Cultivation Facility,5110 North Race Street,Denver,CO,80216,2024-09-03,39.788204,-104.963419
403R-00159,CSV CO LLC,710 Labs,Retail Marijuana Cultivation Facility,1403 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6906857,-104.9911314
403R-01182,CUTTING EDGE CULTIVATION LLC,,Retail Marijuana Cultivation Facility,8617 Maverick Lane,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
403R-00722,D & D CONSULTING INC,Kaya Cannabis,Retail Marijuana Cultivation Facility,1075 South Fox Street,Denver,CO,80223,2024-09-03,39.6969817,-104.9945522
403R-01439,D AND C MEDICAL MARIJUANA LLC,Golden Leaf,Retail Marijuana Cultivation Facility,1755 Lincoln Avenue,Steamboat Springs,CO,80487,2024-09-03,40.4968351,-106.8534268
403R-00225,D AND C MEDICAL MARIJUANA LLC,Golden Leaf,Retail Marijuana Cultivation Facility,2052 Snow Bowl Plaza,Steamboat Springs,CO,80487,2024-09-03,40.5033939,-106.8703155
403R-00830,D'S TREES LLC,D'z Trees,Retail Marijuana Cultivation Facility,3835 North Paris Street,Denver,CO,80239,2024-09-03,39.770271,-104.848523
403R-00782,DALWHINNIE FARMS LLC,,Retail Marijuana Cultivation Facility,6154 County Road 23,Ridgway,CO,81432,2024-09-03,38.140092,-107.753485
403R-00288,DARK HORSE GENETICS LLC,,Retail Marijuana Cultivation Facility,"1110 West Virginia Avenue, Units 2, 3 & 4",Denver,CO,80223,2024-09-03,39.707413,-104.974451
403R-00863,DARK HORSE GENETICS LLC,,Retail Marijuana Cultivation Facility,2145 South Kalamath Street,Denver,CO,80223,2024-09-03,39.6776722,-105.0007286
403R-01021,DD FARMS LLC,,Retail Marijuana Cultivation Facility,6397 Galbreth Road,Pueblo,CO,81005,2024-09-03,38.1706248,-104.7724413
403R-00991,DEL MUNDO LLC,Del Mundo Cannabis,Retail Marijuana Cultivation Facility,"5303 Vasquez Boulevard, Suite 101",Commerce City,CO,80022,2024-09-03,39.7932969,-104.9395942
403R-01290,DELTA-9 LLC,,Retail Marijuana Cultivation Facility,819 Mayor Patricia Reigel Boulevard,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
403R-00077,DENCO LLC,,Retail Marijuana Cultivation Facility,4300 East 51st Avenue,Denver,CO,80216,2024-09-03,39.7888213,-104.9372887
403R-00076,DENCO LLC,,Retail Marijuana Cultivation Facility,5155 East 46th Avenue,Denver,CO,80216,2024-09-03,39.7802107,-104.928296
403R-00023,DENVER GREENS LLC,,Retail Marijuana Cultivation Facility,"1885 West Dartmouth Avenue, Units 2, 3, & 6",Denver,CO,80223,2024-09-03,39.660508,-105.0158
403R-00013,DGS INC,The Kind Room,Retail Marijuana Cultivation Facility,1870 South Acoma Street,Denver,CO,80223,2024-09-03,39.6827117,-104.9886803
403R-00926,DH SYSTEMS & TESTING LLC,maverixx,Retail Marijuana Cultivation Facility,2380 59th Lane,Boone,CO,81025,2024-09-03,38.199222,-104.239424
403R-01474,DHR ENTERPRISE LLC,,Retail Marijuana Cultivation Facility,320 Mary Jane Lane,Moffat,CO,81143,2024-09-03,37.702995,-106.686386
403R-00934,DJR COLORADO LLC,High Level Health,Retail Marijuana Cultivation Facility,4755 North Lima Street,Denver,CO,80239,2024-09-03,39.790169,-104.856718
403R-00031,DKC LLC,Denver Kush Club,Retail Marijuana Cultivation Facility,4960 North Jackson Street,Denver,CO,80216,2024-09-03,39.8257512,-104.6954995
403R-01371,DOLCE VITA INVESTMENTS LLC,,Retail Marijuana Cultivation Facility,715 Lone Tree Circle Unit A,Nunn,CO,80648,2024-09-03,40.712601,-104.7897564
403R-01184,DOUBLE BROW LLC,Grow Forth Gardens,Retail Marijuana Cultivation Facility,4715 North Colorado Boulevard ,Denver,CO,80216,2024-09-03,39.781832,-104.940579
403R-01048,DOUBLE C FARMS LLC,,Retail Marijuana Cultivation Facility,8161 Maverick Lane,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
403R-00120,DPC DENVER LLC,Green Dragon,Retail Marijuana Cultivation Facility,830 North Wyandot Street,Denver,CO,80204,2024-09-03,39.729625,-105.01391
403R-01388,DR JAYS EXOTICS LLC,Dr Jays Exotics,Retail Marijuana Cultivation Facility,27425 County Road 61,Moffat,CO,81143,2024-09-03,40.2326936,-108.7715981
403R-00428,DR JEKYLL FARMS LLC,,Retail Marijuana Cultivation Facility,127 South Neilson Avenue,Pueblo,CO,81001,2024-09-03,38.2689031,-104.5587971
403R-00617,DR RELEAF INC,,Retail Marijuana Cultivation Facility,61100 Highway 96 East,Boone,CO,81025,2024-09-03,38.223531,-104.203375
403R-01305,DREAMCROP LLC,,Retail Marijuana Cultivation Facility,19658 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
403R-01004,DSA LLC,,Retail Marijuana Cultivation Facility,8124 County Lane 21,Sugar City,CO,81076,2024-09-03,38.214599,-103.692413
403R-00332,DURANGO ORGANICS LLP,,Retail Marijuana Cultivation Facility,12929 Highway 550 South,Durango,CO,81303,2024-09-03,37.178244,-107.857929
403R-00731,DUTCH BOTANICALS LLC,,Retail Marijuana Cultivation Facility,"17600 East Exposition Drive, Unit C-1",Aurora,CO,80017,2024-09-03,39.7039672,-104.7828795
403R-00376,DUTCH BOY LLC,Dutch Boy,Retail Marijuana Cultivation Facility,1617 West 12th Avenue,Denver,CO,80204,2024-09-03,39.7352098,-105.0092938
403R-00314,DUTCHESS OF DENVER LLC,Dutchess,Retail Marijuana Cultivation Facility,1994 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6805093,-104.9910035
